category,year,homeworking
"Managers, Directors & Senior Officials",2019,"845,000"
"Managers, Directors & Senior Officials",2022,"1,378,000"
Professional Occupations,2019,"918,000"
Professional Occupations,2022,"8,331,000"
Associate Professional & Technical,2019,"973,000"
Associate Professional & Technical,2022,"1,984,000"
Administrative & Secretarial,2019,"313,000"
Administrative & Secretarial,2022,"1,176,000"
Skilled Trades,2019,"823,000"
Skilled Trades,2022,"716,000"
"Caring, Leisure & Other Services",2019,"332,000"
"Caring, Leisure & Other Services",2022,"316,000"
Sales & Customer Services,2019,"98,000"
Sales & Customer Services,2022,"337,000"
Elementary Occupations,2019,"193,000"
Elementary Occupations,2022,"151,000"
